Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Training Time
Logistic Regression,0.9876290839882987,0.1073738680465718,0.8736842105263158,0.1912442396313364,0.964412018554975,0.6532040129954065,3.177900791168213
Random Forest,0.9994008388256441,0.8426966292134831,0.7894736842105263,0.8152173913043478,0.973333308558682,0.8145849139439664,271.89412784576416
XGBoost,0.9993479716632009,0.8085106382978723,0.8,0.8042328042328042,0.9653016762838766,0.8168617672144092,17.151006937026978
